Placa ,Veículo ,Ano,Cor ,Patio,Calção ,Prazo ,Mensal ,URL 
DMD9740,Ecosport XLT 2.0 ,2007,Preto,JK ,"R$ 6.900,00",36,"R$ 916,00",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=7RcU2nNxWHk=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FLS6125,Etios X 1.3 (Flex),2013,Prata,JK ,"R$ 8.900,00",36,"R$ 961,80",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=S1Y6vUXFyZQ=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
KXU4905,Tiida SL 1.8 flex,2012,Vermelho,JK ,"R$ 9.900,00",36,"R$ 1.053,40",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=Ghib1Zs22lE=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
HLC6529,Camry XLE 3.5 V6,2008,Prata,JK ,"R$ 10.900,00",36,"R$ 1.236,60",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=H24L8I2Ft9Q=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=CfAiVGsESiY=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PXQ2265, Versa 1.6  SV,2016,Prata,JK ,"R$ 11.970,00",36,"R$ 1.324,99",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=YTVZaXsjrkc=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PUF0983,Strada Adventure 1.8 ,2015,Prata,JK ,"R$ 13.900,00",36,"R$ 1.465,60",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=CA/D4wyXto4=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PXY0719,DUSTER - 1.6 DYNAMIQUE,2017,Branco,JK ,"R$ 15.900,00",36,"R$ 1.740,40",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=yQAW2VxvEws=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PZU9507,SANDERO - 1.0 AUTHENTIC*,2018,Prata,Nova Opção,"R$ 10.900,00",36,"R$ 1.190,80",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=qjcmrBExieg=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=NBdxR2hso5o=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
PXV0150,LOGAN  AUTHENTIQUE FLEX 1.0 ,2016,Prata,Nova Opção,"R$ 10.797,00",36,"R$ 1.199,64",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=H24L8I2Ft9Q=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=HFEvZeG/1iM=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FQB5377,CIVIC SEDAN LXS 1.8 automática ,2014,Cinza,Nova Opção,"R$ 16.900,00",36,"R$ 1.557,20",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=H24L8I2Ft9Q=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=EKqy1yWcROA=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FPF2813,Duster 1.6 Expression(Flex),2016,Branco,Premium,"R$ 14.900,00",36,"R$ 1.511,40",
PCD2600,Jaguar  XF 2.0 diesel  Premium Luxury,2015,Preto,Premium,"R$ 41.670,00",36,"R$ 4.498,93",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=Xqzv6tnxlDg=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FGS8415,Hilux SW4 3.0 Diesel 4x4 7Lugares ,2014,Branco,Premium,"R$ 42.870,00",36,"R$ 4.627,17",
PVC5619,SANDERO  AUTHENTIQUE HI-FLEX 1.0 ,2015,Prata,Rodolfo,"R$ 8.880,00",36,"R$ 994,78",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=6AL3QDDZHV4=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FBP2499,CLASSIC CLASSIC LS,2012,Prata,Só Barato,"R$ 4.900,00",36,"R$ 595,40",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=GoiQMckxsgg=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
KHA8223,CELTA - 1.0 LS ,2014,Branco,Só Barato,"R$ 4.900,00",36,"R$ 641,20",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=sUBprn0X/+w=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
BNZ3010,Palio - Palio Fire 1.0 8V (Flex) 4p,2010,Vermelho,Só Barato,"R$ 4.900,00",36,"R$ 687,00",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=tZ8KA1IZz7E=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
BNZ3008,Palio Fire 1.0 Flex 4p,2010,Vermelho,Só Barato,"R$ 4.900,00",36,"R$ 687,00",
EIO7132,Corsa Sedan Maxx 1.4 Flex,2009,Preto,Só Barato,"R$ 4.900,00",36,"R$ 799,00",
GFI8878,Palio - Palio Fire 1.0 8V (Flex) 4p,2016,Preto,Só Barato,"R$ 5.900,00",36,"R$ 824,40",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=8/vzgGpQQ50=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=0l+fAsVpOvI=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
EAL2055,COROLLA XEI 1.8 FLEX ,2008,Preto,Só Barato,"R$ 9.900,00",36,"R$ 993,86",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=Yy/Rq2xozx8=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=KroagNCgpMU=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
FQU2747, Etios Sedan XLS 1.5 Flex,2014,Prata,Só Barato,"R$ 9.900,00",36,"R$ 998,44",http://apisites.bndv.com.br/LoadImages.aspx?ID_EmpresaGrupo=VeS5Yy4WlHU=&ID_Empresa=VeS5Yy4WlHU=&ID_Db=nnZLu4lC0wpYcCcO9gxSjw==&ID_Veiculo=CvK1l7lukOY=&ID_VeiculoFoto=M40FsP+6CcI=&ID_Tipo=1
